ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,UNIQUE,NESTING,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
NGA,NIGERIA,,ABIA,NG001,ABA NORTH,NG001001,1,True,57686,57619,115305,6388,5977,7828,7206,5964,4996,4249,3896,2843,2483,1641,1517,935,828,443,315,177,6624,5870,6606,6046,5819,4994,4586,3865,3571,3160,2061,1845,907,911,374,277,103,13012,11847,14434,13252,11783,9990,8835,7761,6414,5643,3702,3362,1842,1739,817,592,280
NGA,NIGERIA,,ABIA,NG001,ABA SOUTH,NG001002,1,True,185314,199626,384940,19222,20744,24907,23586,18694,15988,13318,12485,9173,8381,5613,5142,2834,2467,1239,986,535,20579,21416,24319,24659,21072,17262,14268,12228,11039,9561,7101,6022,3828,3118,1644,1020,490,39801,42160,49226,48245,39766,33250,27586,24713,20212,17942,12714,11164,6662,5585,2883,2006,1025
NGA,NIGERIA,,ABIA,NG001,AROCHUKWU,NG001003,1,True,126730,128709,255439,13544,14969,15892,15049,10955,9022,8242,8102,6759,6111,4644,4393,3054,2717,1568,1065,644,14374,16017,17151,16624,12964,9550,7395,6701,6198,5546,4397,3689,2579,2452,1407,1179,486,27918,30986,33043,31673,23919,18572,15637,14803,12957,11657,9041,8082,5633,5169,2975,2244,1130
NGA,NIGERIA,,ABIA,NG001,BENDE,NG001004,1,True,124460,120035,244495,13473,13602,14501,13798,9908,8153,7678,7475,6353,6221,5070,5135,3817,4021,2598,1788,869,13632,14335,15180,14995,11648,8674,7119,6164,5804,5368,3973,4150,2546,2993,1523,1315,616,27105,27937,29681,28793,21556,16827,14797,13639,12157,11589,9043,9285,6363,7014,4121,3103,1485
NGA,NIGERIA,,ABIA,NG001,IKWUANO,NG001005,1,True,155278,161525,316803,16378,18303,19019,19069,15232,11109,9742,9133,7577,7187,5489,5428,3637,3631,2104,1414,826,16909,18989,20743,20924,20270,12862,9060,7906,7285,6483,4938,5091,3138,3092,1822,1365,648,33287,37292,39762,39993,35502,23971,18802,17039,14862,13670,10427,10519,6775,6723,3926,2779,1474
NGA,NIGERIA,,ABIA,NG001,Isiala-Ngwa North,NG001006,1,True,112642,108993,221635,12122,12698,14546,13791,9362,7858,7100,6799,5772,5205,4287,3878,2737,2556,1984,1118,829,12596,13190,14682,14187,10438,7669,6249,5570,5138,4599,3757,3456,2204,2158,1441,1075,584,24718,25888,29228,27978,19800,15527,13349,12369,10910,9804,8044,7334,4941,4714,3425,2193,1413
NGA,NIGERIA,,ABIA,NG001,Isiala-Ngwa South,NG001007,1,True,84520,80615,165135,9523,9062,11124,10189,7055,5705,5160,4907,4335,3745,3434,3005,2452,1800,1362,914,748,9746,9383,11724,10225,7117,5385,4768,4161,4044,3371,2718,2408,1710,1475,1060,833,487,19269,18445,22848,20414,14172,11090,9928,9068,8379,7116,6152,5413,4162,3275,2422,1747,1235
NGA,NIGERIA,,ABIA,NG001,Isiukwuato,NG001008,1,True,93491,87572,181063,8525,8746,11130,12206,10032,5871,4877,4773,4335,4240,3755,4095,3161,3373,2045,1511,816,8511,8910,11734,12210,10640,6711,4747,4079,3804,3621,2718,2924,1979,2064,1316,1101,503,17036,17656,22864,24416,20672,12582,9624,8852,8139,7861,6473,7019,5140,5437,3361,2612,1319
NGA,NIGERIA,,ABIA,NG001,Obi Ngwa,NG001009,1,True,121537,116490,238027,13615,13484,16478,14886,10425,8067,7479,6939,6232,5514,4552,3785,3208,2504,2055,1274,1040,13642,13960,16062,14501,10768,8067,6863,5791,5772,5263,4120,3616,2563,2222,1533,1046,701,27257,27444,32540,29387,21193,16134,14342,12730,12004,10777,8672,7401,5771,4726,3588,2320,1741
NGA,NIGERIA,,ABIA,NG001,OHAFIA,NG001010,1,True,176085,177797,353882,19431,20452,21995,20914,14677,12154,11006,11002,9056,8479,6370,6527,4151,3993,2696,2117,1065,20654,21767,24353,23893,17072,12733,10064,9080,8350,7490,5664,5486,3339,3320,2118,1604,810,40085,42219,46348,44807,31749,24887,21070,20082,17406,15969,12034,12013,7490,7313,4814,3721,1875
NGA,NIGERIA,,ABIA,NG001,OSISIOMA NGWA,NG001011,1,True,143335,145419,288754,17830,15892,19286,17189,13810,11661,9932,8861,6845,5787,4245,4076,2674,2083,1363,1075,726,19000,16229,17748,16401,14294,11821,10432,8764,8056,6829,4956,4043,2293,2078,1139,869,467,36830,32121,37034,33590,28104,23482,20364,17625,14901,12616,9201,8119,4967,4161,2502,1944,1193
